lid,fid,location_name,lat,lng
573,4478,BATON ROUGE LA,30.38719,-91.06241
575,4480,HARVEY LA,29.88945,-90.05646
577,4481,LITHONIA GA,33.69934,-84.17225
579,4484,GULFPORT MS,30.42187,-89.09095
581,4487,HOUMA LA,29.6112,-90.75483
583,4489,MONROE LA,32.49842,-92.06984
585,4502,CHARLESTON WV,38.30666,-81.56258
587,5304,BRIDGEVIEW IL,41.74836,-87.80193
589,5306,ELGIN IL,42.0297,-88.33753
591,5308,KANSAS CITY MO,39.20951,-94.63999
593,5309,CRESTWOOD IL,41.65354,-87.73979
595,5321,OLATHE KS,38.91381,-94.76514
597,5323,LAWRENCE KS,38.92772,-95.25981
599,5336,ROCKFORD IL,42.27201,-88.98122
601,5401,FLORISSANT MO,38.79529,-90.34097
603,5402,JOPLIN MO,37.06857,-94.47769
605,5406,KENOSHA WI,42.56736,-87.89466
607,5416,MISHAWAKA IN,41.69817,-86.18302
609,5435,GRAND RAPIDS MI,43.00012,-85.59086
611,5508,AKRON OH,40.99309,-81.49176
613,5509,NORTH CANTON OH,40.87945,-81.43613
615,360138,HALLANDALE FL,25.98546,-80.16238
617,360158,MIAMI SPRINGS FL,25.80809,-80.27962
619,360168,DELRAY BEACH FL,26.45821,-80.11873
621,360180,TEMPLE TERRACE FL,28.05536,-82.36161
623,360222,PLANTATION FL,26.101712,-80.250391
625,360225,ORLANDO FL,28.5512194,-81.48243
627,360229,ORLANDO FL,28.392694,-81.466033
631,470,NASHVILLE TN,36.08003,-86.72574
633,476,MADISON TN,36.30492,-86.68775
635,477,PINEVILLE NC,35.08549,-80.88484
637,484,KENNESAW GA,34.00066,-84.59023
639,486,SEVIERVILLE TN,35.82925,-83.5746
641,489,MARIETTA GA,34.02376,-84.42486
643,491,GREENSBORO NC,36.05542,-79.89378
645,494,STATESVILLE NC,35.79109,-80.85933
647,498,BURLINGTON NC,36.0661,-79.49904
649,505,ARDMORE PA,40.00914,-75.2941
651,511,JENKINTOWN PA,40.09851,-75.12624
653,526,COCKEYSVILLE MD,39.46371,-76.63576
655,530,WILLIAMSBURG VA,37.28699,-76.72196
657,547,COLMAR MANOR MD,38.93417,-76.95185
659,559,PHILADELPHIA PA,40.03036,-75.10488
661,561,RANDALLSTOWN MD,39.36296,-76.78183
663,568,FAIRLESS HILLS PA,40.18066,-74.86751
665,569,BLUE BELL PA,40.15051,-75.30585
667,579,DANVILLE VA,36.58846,-79.43071
669,589,BRISTOL VA,36.63098,-82.12217
671,591,SUFFOLK VA,36.7487,-76.58192
673,592,HAGERSTOWN MD,39.65542,-77.75012
675,594,ROCKVILLE MD,39.07755,-77.14105
677,601,HAYWARD CA,37.68053,-122.08531
679,614,SAN RAFAEL CA,37.97404,-122.53984
681,625,SAN BRUNO CA,37.6253,-122.41388
683,628,LYNNWOOD WA,47.82058,-122.29101
687,654,FRESNO CA,36.74125,-119.77947
689,656,MARTINEZ CA,37.9935,-122.10096
691,660,SALINAS CA,36.69755,-121.66863
693,661,BEND OR,44.08419,-121.30533
695,662,TACOMA WA,47.16628,-122.50726
697,664,ISSAQUAH WA,47.5512,-122.06004
699,665,RENTON WA,47.47464,-122.2142
701,667,OLYMPIA WA,47.04675,-122.8455
703,668,TACOMA WA,47.18856,-122.46132
705,688,VALLEJO CA,38.13308,-122.21613
707,700,EVERETT WA,47.90437,-122.24364
709,705,LA MIRADA CA,33.89479,-118.0079
711,714,LAKEWOOD CA,33.85433,-118.1421
713,716,COVINA CA,34.07708,-117.88978
715,721,ARCADIA CA,34.12657,-118.05516
717,727,GRANADA HILLS CA,34.25784,-118.50146
719,743,SOUTH GATE CA,33.94348,-118.20149
721,747,UPLAND CA,34.09463,-117.65061
725,754,RIVERSIDE CA,33.97548,-117.34081
727,756,WHITTIER CA,33.97255,-118.07263
729,759,RANCHO CUCAMONGA CA,34.12308,-117.59394
731,761,BELL GARDENS CA,33.96824,-118.16522
733,763,BAKERSFIELD CA,35.38336,-119.04215
735,764,LANCASTER CA,34.70413,-118.14718
737,766,VENTURA CA,34.25749,-119.21103
739,770,NEWBURY PARK CA,34.18278,-118.9276
741,778,WEST HILLS CA,34.19344,-118.62436
743,780,CHATSWORTH CA,34.25753,-118.59323
745,785,HUNTINGTON PARK CA,33.98313,-118.22984
747,786,ANAHEIM CA,33.83905,-117.88483
749,787,LONG BEACH CA,33.79371,-118.12506
751,789,BAKERSFIELD CA,35.38442,-119.10464
753,793,LA HABRA CA,33.91755,-117.96048
755,806,SAN DIEGO CA,32.81998,-117.17541
757,813,ESCONDIDO CA,33.14363,-117.09605
759,815,SAN DIEGO CA,32.95111,-117.10691
761,816,SAN DIEGO CA,32.74965,-117.07109
763,821,SANTEE CA,32.83899,-116.98572
765,822,EL CAJON CA,32.80232,-116.93674
767,824,SAN DIEGO CA,32.7501,-117.21213
769,826,SAN MARCOS CA,33.13477,-117.19034
771,827,CHULA VISTA CA,32.64748,-116.96631
773,828,SAN DIEGO CA,32.91305,-117.14208
775,829,SAN DIEGO CA,32.77982,-117.12881
777,830,SAN DIEGO CA,32.5452,-117.04106
779,831,SAN DIEGO CA,32.79509,-117.25403
781,832,RANCHO SANTA MARGARITA CA,33.63693,-117.59907
783,833,EL CENTRO CA,32.77244,-115.55255
785,834,TEMECULA CA,33.48066,-117.09856
787,909,ANAHEIM CA,33.84392,-117.94138
789,930,CHINO CA,34.02492,-117.68904
791,931,VICTORVILLE CA,34.51951,-117.31634
793,941,RIVERSIDE CA,33.91213,-117.4619
795,945,FONTANA CA,34.10706,-117.43666
797,946,SAN CLEMENTE CA,33.45339,-117.60761
799,948,CATHEDRAL CITY CA,33.80111,-116.45865
801,950,RIVERSIDE CA,33.91599,-117.32607
803,953,PALM DESERT CA,33.72682,-116.40244
805,1202,CHICAGO IL,41.98912,-87.70472
807,1274,SKOKIE IL,42.05388,-87.74722
809,1283,SAINT LOUIS MO (Sunset Hills),38.55471,-90.41073
811,1288,BUFFALO GROVE IL,42.15454,-87.95912
813,1293,VERNON HILLS IL,42.23997,-87.94687
815,1295,ORLAND PARK IL,41.61989,-87.85406
819,1412,FORT WORTH TX,32.65072,-97.3729
821,1486,HILLSBORO TX,32.01062,-97.0941
823,1528,SURPRISE AZ,33.63909,-112.35442
825,1703,TURLOCK CA,37.50785,-120.87577
827,1705,VACAVILLE CA,38.36319,-121.96897
829,1712,CLOVIS CA,36.80807,-119.69478
831,1713,PITTSBURG CA,38.00864,-121.87127
833,1715,AUBURN WA,47.2963,-122.24461
835,1718,DUBLIN CA,37.70575,-121.90903
837,1720,NAPA CA,38.28267,-122.27477
839,1721,RENO NV,39.52583,-119.86169
